autonummering;Veldcode;IDToonW;sampling_unit_code;naam;SGO__km²_;SBZ;provincie;x;y;AfstandTot;RankingGRT;SGO;Volgorde_cyclus1;Jaar cyclus 1;jaar_cyclus2;FID_1;UIDN;OIDN;VHAS;VHAG;NAAM_1;REGCODE;REGCODE1;BEHEER;CATC;LBLCATC;BEKNR;BEKNAAM;STRMGEB;KWALDOEL;LBLKWAL;GEO;LBLGEO;VHAZONENR;WTRLICHC;LENGTE;Distance;bron+datum_cyclus1;Opm_cyclus1;bron+datum_cyclus2;Opm_cyclus2;"verplaatsing (geen: 0; origineel: -1 of verplaatst: 1; meetpunt geschrapt door ongeschikt: -2)";
1;Dommel_05;783;1_4_783;DOMMEL;>50;intersecting or downstream;Limburg;223428,5451;215626,0317;8,062744;63762;>10;1;1;2022;25742;380192;96679;7014602;9512;Dommel;L6; ;V0102;1;Geklasseerd, eerste categorie;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;935;VL05_136;854,42;0,002305;orginele steekproeftrekking 2014;gemeten <= 2019;steekproefvernieuwing2022_2e_cylcus;gemeten in 2022;0;
2;GieBe_01;943;1_4_943;GIELISBEEK;<10;intersecting or downstream;Limburg;228327,8311;200816,6532;10,549351;407506;<10;1;1;;24467;398841;82351;6031294;9663;Gielisbeek;L87; ;W7.13;2;Geklasseerd, tweede categorie;11;Maasbekken;Maas;310;Viswater;0;10 tot 2.5 m;921;L213_133;5505,7;0,003173;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
3;LoeNe_01;1309;1_4_1309;LOEIJENS NEETJE;10-50;outside;Antwerpen;196022,7355;215574,4424;10,787975;378102;>10;1;1;2022;32858;423731;102341;7029405;8836;Loeijens Neetje;A.8.21; ;10000;2;Geklasseerd, tweede categorie;10;Netebekken;Schelde;310;Viswater;2;< 0.25 m;530;L111_1066;52,99;0,974902;orginele steekproeftrekking 2014;gemeten <= 2019;steekproefvernieuwing2022_2e_cylcus;gemeten in 2022;0;
4;Stiemer_01;1495;1_4_1495;STIEMER;<10;outside;Limburg;230211,1351;186888,3908;7,967182;93650;<10;1;2;2022;34398;386941;90745;6038840;8038;Stiemer;L42; ;71016;3;Geklasseerd, derde categorie;9;Demerbekken;Schelde;100;Basiskwaliteit;1;2.5 tot 0.25 m;601;L213_99;6257,63;0,310959;orginele steekproeftrekking 2014;gemeten <= 2019;steekproefvernieuwing2022_2e_cylcus;gemeten in 2022;0;
5;Berwijn_01;329;1_4_329;BERWIJN;>50;intersecting or downstream;Limburg;243642,0031;161000,3554;6,785058;88754;>10;2;1;2022;4297;357829;36139;3600721;9536;Berwijn;L03; ;V0102;1;Geklasseerd, eerste categorie;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;900;VL05_134;5000,33;0,004053;orginele steekproeftrekking 2014;gemeten <= 2019;steekproefvernieuwing2022_2e_cylcus;"niet geschikt door overwelving? 16m overwelving; dus niet geschikt voor monitoring; schrappen als meetpunt";-2;
6;NooBe_01;1017;1_4_1017;NOORBEEK;<10;intersecting or downstream;Limburg;249817,2143;162401,2029;13,632637;728498;<10;2;1;;36270;400391;36132;3600616;9682;Noorbeek;L003; ;70000;2;Geklasseerd, tweede categorie;11;Maasbekken;Maas;100;Basiskwaliteit;2;< 0.25 m;900;NL_M;2038,38;0,003437;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
7;SchNe_01;1172;1_4_1172;SCHEPPELIJKE NETE;10-50;outside;Antwerpen;205843,0685;210444,8742;10,596212;483446;>10;2;2;2022;26589;370927;97545;7021004;8634;Scheppelijke Nete;A.7.29.5; ;10000;2;Geklasseerd, tweede categorie;10;Netebekken;Schelde;100;Basiskwaliteit;2;< 0.25 m;501;L107_705;6085,58;0,139039;orginele steekproeftrekking 2014;gemeten <= 2019;steekproefvernieuwing2022_2e_cylcus;gemeten in 2022;0;
8;Voer_08_o;31;1_4_31;VOER;<10;outside;Limburg;252091,152;160123,8577;13,958977;131970;<10;2;3;;36269;400390;36131;3600614;9574;Voer;L001; ;70000;2;Geklasseerd, tweede categorie;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;900;NL_M;1136,06;0,001512;orginele steekproeftrekking 2014;gemeten <= 2019 (maar verplaatst);;;-1;
9;AntGr_01;1143;1_4_1143;ANTITANKKANAAL;10-50;outside;Antwerpen;153679,2513;226383,3149;14,390935;485342;>10;3;3;2023;9559;360726;70745;6025127;113;Antitankkanaal; ; ;V0101;1;Geklasseerd, eerste categorie;4;Beneden-Scheldebekken;Schelde;310;Viswater;1;2.5 tot 0.25 m;108;L111_724;2618,75;0,003722;orginele steekproeftrekking 2014;gemeten <= 2019;steekproefvernieuwing2022_2e_cylcus;;0;
10;KaaBe_01;772;1_4_772;KAATSBEEK;<10;outside;Limburg;228295,3843;179644,3265;17,259705;351794;<10;3;4;2022;31777;390430;92106;6038912;8115;Kaatsbeek;L205; ;70000;2;Geklasseerd, tweede categorie;9;Demerbekken;Schelde;100;Basiskwaliteit;1;2.5 tot 0.25 m;601;L213_99;1417,56;3,82423;orginele steekproeftrekking 2014;gemeten <= 2019;steekproefvernieuwing2022_2e_cylcus;gemeten in 2022;0;
11;KleNe_06;618;1_4_618;KLEINE NETE;>50;intersecting or downstream;Antwerpen;185944,6091;209539,175;12,020039;116470;>10;3;1;;31971;355091;98684;7023563;8502;Kleine Nete;A.8; ;V0101;1;Geklasseerd, eerste categorie;10;Netebekken;Schelde;310;Viswater;2;< 0.25 m;532;VL11_127;846,06;0,003689;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
12;NooMa_02;1088;1_4_1088;GELSLOOPKE;<10;intersecting or downstream;Antwerpen;186945,4704;232226,7945;11,965109;1047854;<10;3;1;2022;17907;394596;35984;1502483;9670;Noordermark;A.4.15.2; ;W1.08;2;Geklasseerd, tweede categorie;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;941;L213_146;148,03;0,297866;orginele steekproeftrekking 2014;gemeten <= 2019;steekproefvernieuwing2022_2e_cylcus;gemeten in 2022;0;
13;GroNe_01;1583;1_4_1583;GROTE NETE;10-50;intersecting or downstream;Antwerpen;210667,0304;206049,5413;18,402572;157302;>10;4;1;;253;426460;103620;7039002;8501;Grote Nete;A.7; ;10000;2;Geklasseerd, tweede categorie;10;Netebekken;Schelde;310;Viswater;0;10 tot 2.5 m;500;L107_708;1614,73;0,000478;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
14;MunLo_01;1515;1_4_1515;MUNTLOOP;10-50;outside;Antwerpen;175351,3587;236847,3096;6,346973;952670;>10;4;3;2023;24748;379108;55638;6011135;10047;Muntloop;A.4.11; ;W1.01;2;Geklasseerd, tweede categorie;11;Maasbekken;Maas;100;Basiskwaliteit;2;< 0.25 m;941;L111_1049;2017,47;0,601326;orginele steekproeftrekking 2014;gemeten <= 2019;steekproefvernieuwing2022_2e_cylcus;gemeten in 2023;0;
15;SchNe_08;1210;1_4_1210;SCHEPPELIJKE NETE;<10;outside;Antwerpen;208897,0796;211415,0405;9,584057;408694;<10;4;5;;30857;422070;41370;1502811;8634;Scheppelijke Nete;A.7.29.5; ;10000;2;Geklasseerd, tweede categorie;10;Netebekken;Schelde;100;Basiskwaliteit;2;< 0.25 m;501;L213_128;755,12;0,048669;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
16;WalBo_01;1690;1_4_1690;NA;<10;intersecting or downstream;Vlaams-Brabant;186150,6727;180314,792;15,594931;1150886;<10;4;1;2022;6122;413960;68650;6023058;11426; ; ; ;ONBEKEND;9;Niet geklasseerd;9;Demerbekken;Schelde;100;Basiskwaliteit;0;10 tot 2.5 m;666;L213_104;59,08;0,001395;orginele steekproeftrekking 2014;gemeten <= 2019;steekproefvernieuwing2022_2e_cylcus;gemeten in 2022;0;
17;GouLo_08;814;1_4_814;GOUWBERGSE LOOP;<10;intersecting or downstream;Antwerpen;180437,0171;243133,2955;17,436107;1391710;<10;5;2;;32131;386758;74307;6027571;10163;Gouwbergse Loop;A.4.04; ;W1.01;2;Geklasseerd, tweede categorie;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;945;L213NL;779,53;0,759049;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
18;Maas_08;188;1_4_188;MAAS;>50;intersecting or downstream;Limburg;248161,713;188823,1368;9,919758;266578;>10;5;1;2023;8201;356824;22345;6000008;9501;Maas;BV44;BV440;V0060;0;Bevaarbaar;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;920;VL11_203;7589,74;0,000038;orginele steekproeftrekking 2014;gemeten <= 2019;steekproefvernieuwing2022_2e_cylcus;gemeten in 2023;0;
19;SchNe_02;1189;1_4_1189;SCHEPPELIJKE NETE;10-50;outside;Antwerpen;207415,3732;210723,7608;12,076966;1006710;>10;5;4;2023;26589;370927;97545;7021004;8634;Scheppelijke Nete;A.7.29.5; ;10000;2;Geklasseerd, tweede categorie;10;Netebekken;Schelde;100;Basiskwaliteit;2;< 0.25 m;501;L107_705;6085,58;0,19867;orginele steekproeftrekking 2014;gemeten <= 2019;steekproefvernieuwing2022_2e_cylcus;gemeten in 2022;0;
20;ZilBe_01;1464;1_4_1464;ZILTBEKE;<10;outside;Oost-Vlaanderen;81436,76618;212954,7701;12,683448;434881;<10;5;6;2023;1419;412656;70890;6025271;2205;Ziltbeke;O407; ;P4.129;2;Geklasseerd, tweede categorie;2;Bekken Brugse polders;Brugse Polders;100;Basiskwaliteit;1;2.5 tot 0.25 m;85;L213_173;887,8;0,003793;orginele steekproeftrekking 2014;gemeten <= 2019;steekproefvernieuwing2022_2e_cylcus;gemeten in 2023 (maar droog);0;
21;Berwijn_02;320;1_4_320;BERWIJN;>50;intersecting or downstream;Limburg;242974,052;161358,8003;0,826573;391346;>10;6;1;2022;4297;357829;36139;3600721;9536;Berwijn;L03; ;V0102;1;Geklasseerd, eerste categorie;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;900;VL05_134;5000,33;0,003286;orginele steekproeftrekking 2014;gemeten <= 2019;steekproefvernieuwing2022_2e_cylcus;niet meer geschikt door onbereikbaar;0;
22;BriLo_04;872;1_4_872;BRISDILLOOP;<10;intersecting or downstream;Antwerpen;210232,5922;204881,5569;6,070803;2357110;<10;6;2;;38444;389267;66403;6021805;9048;Brisdilloop;A.7.33.2; ;10000;2;Geklasseerd, tweede categorie;10;Netebekken;Schelde;100;Basiskwaliteit;2;< 0.25 m;500;L213_123;2540,38;0,312873;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
23;RepBe_01;683;1_4_683;REPPELERBEEK;<10;outside;Limburg;232425,5827;206377,9879;12,680658;470034;<10;6;8;;39800;413442;55416;6010531;9767;Reppelerbeek;L677; ;70000;2;Geklasseerd, tweede categorie;11;Maasbekken;Maas;100;Basiskwaliteit;0;10 tot 2.5 m;921;L213_133;2935,93;0,003904;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
24;SchNe_03;1166;1_4_1166;SCHEPPELIJKE NETE;10-50;outside;Antwerpen;205330,5876;210333,0813;18,577613;1370998;>10;6;5;2024;26589;370927;97545;7021004;8634;Scheppelijke Nete;A.7.29.5; ;10000;2;Geklasseerd, tweede categorie;10;Netebekken;Schelde;100;Basiskwaliteit;2;< 0.25 m;501;L107_705;6085,58;0,027703;orginele steekproeftrekking 2014;gemeten <= 2019;steekproefvernieuwing2022_2e_cylcus;gemeten in 2023;0;
25;GouLo_02;1886;1_4_1886;GOUWBERGSE LOOP;<10;outside;Antwerpen;181736,0851;241488,4165;10,742898;1031262;<10;7;9;;4350;391503;74482;6027896;10163;Gouwbergse Loop;A.4.04; ;W1.01;2;Geklasseerd, tweede categorie;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;945;L213NL;639,03;0,896493;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
26;GouLo_12;806;1_4_806;GOUWBERGSE LOOP;<10;intersecting or downstream;Antwerpen;179905,6185;243386,6229;13,141425;2485086;<10;7;2;2023;32132;386759;74308;6027572;10163;Gouwbergse Loop;A.4.04; ;W1.01;2;Geklasseerd, tweede categorie;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;945;L213NL;1170,29;3,263795;orginele steekproeftrekking 2014;gemeten <= 2019;steekproefvernieuwing2022_2e_cylcus;gemeten in 2023 (uitval);0;
27;Maas_09;208;1_4_208;MAAS;>50;intersecting or downstream;Limburg;247171,9268;187154,8496;7,909452;435538;>10;7;1;2023;8201;356824;22345;6000008;9501;Maas;BV44;BV440;V0060;0;Bevaarbaar;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;920;VL11_203;7589,74;0,001679;orginele steekproeftrekking 2014;gemeten <= 2019;steekproefvernieuwing2022_2e_cylcus;gemeten in 2023;0;
28;SchNe_04o;565;1_4_565;SCHEPPELIJKE NETE;10-50;outside;Antwerpen;203779,35;209650,2026;7,062207;1497974;>10;7;6;;26589;370927;97545;7021004;8634;Scheppelijke Nete;A.7.29.5; ;10000;2;Geklasseerd, tweede categorie;10;Netebekken;Schelde;100;Basiskwaliteit;2;< 0.25 m;501;L107_705;6085,58;2,105189;orginele steekproeftrekking 2014;gemeten <= 2019 (maar verplaatst);;;-1;
29;DesNe_01;853;1_4_853;DESSELSE NEET;10-50;intersecting or downstream;Antwerpen;200562,9751;215903,9776;17,678902;494838;>10;8;1;2022;4298;357830;78645;6030573;8710;Desselse Neet;A.8.22; ;10000;2;Geklasseerd, tweede categorie;10;Netebekken;Schelde;100;Basiskwaliteit;2;< 0.25 m;530;L111_717;954,11;0,157568;orginele steekproeftrekking 2014;gemeten <= 2019;steekproefvernieuwing2022_2e_cylcus;gemeten in 2022;0;
30;GieBe_02;942;1_4_942;GIELISBEEK;<10;intersecting or downstream;Limburg;228390,0944;200878,9375;8,542254;2701266;<10;8;2;;24467;398841;82351;6031294;9663;Gielisbeek;L87; ;W7.13;2;Geklasseerd, tweede categorie;11;Maasbekken;Maas;310;Viswater;0;10 tot 2.5 m;921;L213_133;5505,7;0,002967;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
31;SchNe_05;1198;1_4_1198;SCHEPPELIJKE NETE;10-50;outside;Antwerpen;208236,0361;210749,2352;20,911619;1596534;>10;8;6;2024;26589;370927;97545;7021004;8634;Scheppelijke Nete;A.7.29.5; ;10000;2;Geklasseerd, tweede categorie;10;Netebekken;Schelde;100;Basiskwaliteit;2;< 0.25 m;501;L107_705;6085,58;1,760059;orginele steekproeftrekking 2014;gemeten <= 2019;steekproefvernieuwing2022_2e_cylcus;gemeten in 2023;0;
32;Stiemer_02o;1497;1_4_1497;STIEMER;<10;outside;Limburg;230401,568;186948,8448;10,085635;1142226;<10;8;10;;34398;386941;90745;6038840;8038;Stiemer;L42; ;71016;3;Geklasseerd, derde categorie;9;Demerbekken;Schelde;100;Basiskwaliteit;1;2.5 tot 0.25 m;601;L213_99;6257,63;0,802904;orginele steekproeftrekking 2014;gemeten <= 2019 (maar verplaatst);;;-1;
33;BosBe_01;674;1_4_674;BOSBEEK;10-50;intersecting or downstream;Limburg;236314,4924;191366,281;8,423581;559698;>10;9;2;2022;7152;361603;85817;6034000;10004;Bosbeek;L52; ;70000;2;Geklasseerd, tweede categorie;11;Maasbekken;Maas;100;Basiskwaliteit;0;10 tot 2.5 m;922;L107_876;1799,64;0,003095;orginele steekproeftrekking 2014;gemeten <= 2019;steekproefvernieuwing2022_2e_cylcus;gemeten in 2022;0;
34;Ede_01;1358;1_4_1358;EDE;<10;outside;Oost-Vlaanderen;86343,09698;208726,134;12,436704;1372353;<10;9;11 --> 2021;2026;34241;399699;91378;6039133;620;Ede;O412; ;40000;2;Geklasseerd, tweede categorie;2;Bekken Brugse polders;Brugse Polders;110;Produktie drinkwater;1;2.5 tot 0.25 m;143;L213_149;1590,41;0,001099;orginele steekproeftrekking 2014;gemeten in 2021;steekproefvernieuwing2022_2e_cylcus;;0;
35;GouLo_03;822;1_4_822;GOUWBERGSE LOOP;<10;intersecting or downstream;Antwerpen;181018,1646;242889,4273;5,805877;3144798;<10;9;3;;9982;416703;26360;1000593;10163;Gouwbergse Loop;A.4.04; ;W1.01;2;Geklasseerd, tweede categorie;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;945;L213NL;1176,94;1,448844;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
36;LoeNe_02;1320;1_4_1320;LOEIJENS NEETJE;10-50;outside;Antwerpen;197019,2286;218119,8462;6,698182;1762550;>10;9;7;2024;33199;357654;24217;1500002;8836;Loeijens Neetje;A.8.21; ;10000;2;Geklasseerd, tweede categorie;10;Netebekken;Schelde;310;Viswater;2;< 0.25 m;530;L111_1066;2629,75;0,831513;orginele steekproeftrekking 2014;gemeten <= 2019;steekproefvernieuwing2022_2e_cylcus;gemeten in 2023 (uitval);0;
37;BriLo_01;1413;1_4_1413;BRISDILLOOP;10-50;intersecting or downstream;Antwerpen;209162,9368;204312,77;17,077549;620406;>10;10;2;;37323;359677;66402;6021804;9048;Brisdilloop;A.7.33.2; ;10000;2;Geklasseerd, tweede categorie;10;Netebekken;Schelde;100;Basiskwaliteit;2;< 0.25 m;500;L111_1065;2170,32;3,595008;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
38;BriLo_05;876;1_4_876;BRISDILLOOP;<10;intersecting or downstream;Antwerpen;210610,5866;204817,2262;11,437088;3286646;<10;10;3;;38444;389267;66403;6021805;9048;Brisdilloop;A.7.33.2; ;10000;2;Geklasseerd, tweede categorie;10;Netebekken;Schelde;100;Basiskwaliteit;2;< 0.25 m;500;L213_123;2540,38;0,355788;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
39;Kikbeek_01;294;1_4_294;KIKBEEK;>50;outside;Limburg;244775,4268;184397,4378;9,858017;1781234;>10;10;8;;8377;359032;71077;6025759;9986;Kikbeek;L58; ;70000;2;Geklasseerd, tweede categorie;11;Maasbekken;Maas;100;Basiskwaliteit;1;2.5 tot 0.25 m;910;L111_1091;1905,86;0,803265;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
40;Stiemer_03;593;1_4_593;STIEMER;<10;outside;Limburg;231009,1739;187439,165;3,733052;1618386;<10;10;12 --> 2021;2026;34398;386941;90745;6038840;8038;Stiemer;L42; ;71016;3;Geklasseerd, derde categorie;9;Demerbekken;Schelde;100;Basiskwaliteit;1;2.5 tot 0.25 m;601;L213_99;6257,63;0,493754;orginele steekproeftrekking 2014 & steekproefvernieuwing2021;gemeten in 2021;steekproefvernieuwing2022_2e_cylcus;;0;
41;Dommel_08;899;1_4_899;DOMMEL;>50;intersecting or downstream;Limburg;224594,6011;208014,2136;10,991318;678674;>10;11;2;2022;39236;424886;103312;7028357;9512;Dommel;L6; ;V0102;1;Geklasseerd, eerste categorie;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;935;VL05_136;471,97;0,00245;orginele steekproeftrekking 2014;gemeten <= 2019;steekproefvernieuwing2022_2e_cylcus;gemeten in 2023 (uitval);0;
42;Renne_03;386;1_4_386;RENNE;<10;intersecting or downstream;Limburg;247048,1901;207107,9994;14,649821;3469714;<10;11;3;;34598;423208;55593;6010710;10143;Renne;L20; ;W7.02;2;Geklasseerd, tweede categorie;11;Maasbekken;Maas;100;Basiskwaliteit;0;10 tot 2.5 m;922;L213_141;1207,65;0,001697;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
43;WarBe_03;404;1_4_404;WARMBEEK;10-50;outside;Limburg;229115,9577;209081,3738;11,37818;2129938;>10;11;9;2024;30586;385354;78610;6030280;9508;Warmbeek;L60; ;W7.13;2;Geklasseerd, tweede categorie;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;931;L107_858;416,36;0,002315;orginele steekproeftrekking 2014;gemeten <= 2019;steekproefvernieuwing2022_2e_cylcus;gemeten in 2023 (uitval);0;
44;Abeek_04;862;1_4_862;ABEEK;<10;intersecting or downstream;Limburg;230652,9366;195763,7032;5,627937;4172754;<10;12;3;;39744;413386;55420;6010535;9505;Abeek;L19; ;70000;2;Geklasseerd, tweede categorie;11;Maasbekken;Maas;310;Viswater;1;2.5 tot 0.25 m;921;L213_133;399,95;0,692494;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
45;DesNe_02;851;1_4_851;DESSELSE NEET;10-50;intersecting or downstream;Antwerpen;200411,7993;215822,215;1,795515;756982;>10;12;2;2022;4298;357830;78645;6030573;8710;Desselse Neet;A.8.22; ;10000;2;Geklasseerd, tweede categorie;10;Netebekken;Schelde;100;Basiskwaliteit;2;< 0.25 m;530;L111_717;954,11;0,707662;orginele steekproeftrekking 2014;gemeten <= 2019;steekproefvernieuwing2022_2e_cylcus;gemeten in 2022;0;
46;SchNe_06;1182;1_4_1182;SCHEPPELIJKE NETE;10-50;outside;Antwerpen;206779,3237;210692,4805;9,896528;2366582;>10;12;9;;26589;370927;97545;7021004;8634;Scheppelijke Nete;A.7.29.5; ;10000;2;Geklasseerd, tweede categorie;10;Netebekken;Schelde;100;Basiskwaliteit;2;< 0.25 m;501;L107_705;6085,58;0,683533;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
47;GroNe_11;1600;1_4_1600;GROTE NETE;10-50;intersecting or downstream;Antwerpen;211853,2146;205980,8164;21,453184;763510;>10;13;2;;27695;382231;101161;7026344;8501;Grote Nete;A.7; ;10000;2;Geklasseerd, tweede categorie;10;Netebekken;Schelde;100;Basiskwaliteit;0;10 tot 2.5 m;500;L107_708;1716,16;0,004258;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
48;Kikbeek_02;298;1_4_298;KIKBEEK;>50;outside;Limburg;244385,6664;184427,8033;4,683851;2764274;>10;13;10;;8377;359032;71077;6025759;9986;Kikbeek;L58; ;70000;2;Geklasseerd, tweede categorie;11;Maasbekken;Maas;100;Basiskwaliteit;1;2.5 tot 0.25 m;910;L111_1091;1905,86;0,988157;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
49;Renne_04;385;1_4_385;RENNE;<10;intersecting or downstream;Limburg;247121,3674;207166,9928;19,444247;4256146;<10;13;3;;34598;423208;55593;6010710;10143;Renne;L20; ;W7.02;2;Geklasseerd, tweede categorie;11;Maasbekken;Maas;100;Basiskwaliteit;0;10 tot 2.5 m;922;L213_141;1207,65;0,003879;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
50;Dommel_04;102;1_4_102;DOMMEL;>50;intersecting or downstream;Limburg;223114,6767;216335,9427;13,211988;784658;>10;14;2;;25741;380191;96677;7014603;9512;Dommel;L6; ;V0102;1;Geklasseerd, eerste categorie;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;935;VL05_136;644,61;0,001009;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
51;NooMa_01;735;1_4_735;GELSLOOPKE;10-50;outside;Antwerpen;184772,8157;233437,84;17,306146;2774430;>10;14;11;;2205;354312;97905;7022579;9670;Noordermark;A.4.15.2; ;W1.08;2;Geklasseerd, tweede categorie;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;941;L107_607;99,59;10,49437;orginele steekproeftrekking 2014;niet bezocht voor 2019 --> geschrapt en vervangen door nieuwe steekproeftrekking in 2020;;;0;
52;Renne_05;388;1_4_388;RENNE;<10;intersecting or downstream;Limburg;246966,2752;206935,4787;11,884424;5042578;<10;14;4;;34598;423208;55593;6010710;10143;Renne;L20; ;W7.02;2;Geklasseerd, tweede categorie;11;Maasbekken;Maas;100;Basiskwaliteit;0;10 tot 2.5 m;922;L213_141;1207,65;0,000353;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
53;AntGr_02;1139;1_4_1139;ANTITANKKANAAL;10-50;outside;Antwerpen;153280,7666;226346,5406;4,779597;3041246;>10;15;12 --> 2021;2027;9559;360726;70745;6025127;113;Antitankkanaal; ; ;V0101;1;Geklasseerd, eerste categorie;4;Beneden-Scheldebekken;Schelde;310;Viswater;1;2.5 tot 0.25 m;108;L111_724;2618,75;0,003492;orginele steekproeftrekking 2014 & steekproefvernieuwing2021;gemeten in 2021;steekproefvernieuwing2022_2e_cylcus;;0;
54;GouLo_13;802;1_4_802;GOUWBERGSE LOOP;<10;intersecting or downstream;Antwerpen;179582,1629;243446,787;8,692171;6675294;<10;15;4;;32132;386759;74308;6027572;10163;Gouwbergse Loop;A.4.04; ;W1.01;2;Geklasseerd, tweede categorie;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;945;L213NL;1170,29;2,398451;orginele steekproeftrekking 2014;gemeten <= 2019;;;0;
55;Maas_10;191;1_4_191;MAAS;>50;intersecting or downstream;Limburg;248134,108;188525,6728;8,527377;790866;>10;15;2;2023;8201;356824;22345;6000008;9501;Maas;BV44;BV440;V0060;0;Bevaarbaar;11;Maasbekken;Maas;310;Viswater;2;< 0.25 m;920;VL11_203;7589,74;0,000867;orginele steekproeftrekking 2014;gemeten <= 2019;steekproefvernieuwing2022_2e_cylcus;gemeten in 2023;0;
